jma_code,name,name_kana,pref,lat,lon,elevation,type,obs_start,matched_sources,amedastable_code,obsdl_stid,kansoku_bitmask
a0746,本山,モトヤマ,高知,33.753333,133.575,252,C,,amedastable+obsdl,74071,a0746,111201
a0747,繁藤,シゲトウ,高知,33.678333,133.685,346,C,,amedastable+obsdl,74126,a0747,100000
a0748,佐川,サカワ,高知,33.511667,133.271667,80,C,,amedastable+obsdl,74166,a0748,100000
a0749,成山,,高知,,,,,,obsdl_only,,a0749,100000
s47893,高知,コウチ,高知,33.566667,133.548333,1,A,,amedastable+obsdl,74182,s47893,111111
a0751,南国,,高知,,,,,,obsdl_only,,a0751,111100
a0752,芸西,,高知,,,,,,obsdl_only,,a0752,100000
a0753,鳥形山,トリガタヤマ,高知,33.48,133.083333,835,C,,amedastable+obsdl,74238,a0753,100000
a0754,船戸,フナト,高知,33.416667,133.088333,425,C,,amedastable+obsdl,74237,a0754,100000
a0755,安芸,アキ,高知,33.488333,133.933333,6,C,,amedastable+obsdl,74271,a0755,111201
a0756,須崎,スサキ,高知,33.385,133.276667,4,C,,amedastable+obsdl,74311,a0756,111201
a0757,佐喜浜,サキハマ,高知,33.411667,134.198333,26,C,,amedastable+obsdl,74336,a0757,100000
a0758,窪川,クボカワ,高知,33.206667,133.128333,205,C,,amedastable+obsdl,74361,a0758,111201
s47899,室戸岬,ムロトミサキ,高知,33.251667,134.176667,185,B,,amedastable+obsdl,74372,s47899,111111
a0760,堂ケ森,,高知,,,,,,obsdl_only,,a0760,100000
a0761,大正,タイショウ,高知,33.193333,132.971667,150,C,,amedastable+obsdl,74391,a0761,100000
s47897,宿毛,スクモ,高知,32.905,132.716667,21,B,,amedastable+obsdl,74447,s47897,111111
a0763,中村,ナカムラ,高知,32.99,132.92,8,C,,amedastable+obsdl,74456,a0763,111201
s47898,清水,シミズ,高知,35.053333,138.521667,3,C,,amedastable+obsdl,50261,s47898,111111
a0921,梼原,ユスハラ,高知,33.39,132.921667,415,C,,amedastable+obsdl,74296,a0921,111201
a0955,田野,タノ,高知,33.426667,134.006667,17,C,,amedastable+obsdl,74276,a0955,100000
a1179,池川,イケガワ,高知,33.606667,133.17,141,C,,amedastable+obsdl,74101,a1179,100000
a1229,大栃,オオドチ,高知,33.698333,133.875,210,C,,amedastable+obsdl,74136,a1229,111201
a1233,佐賀,サガ,高知,33.078333,133.101667,3,C,,amedastable+obsdl,74436,a1233,111201
a1235,江川崎,エカワサキ,高知,33.17,132.791667,72,C,,amedastable+obsdl,74381,a1235,111201
a1249,後免,ゴメン,高知,33.59,133.643333,12,C,,amedastable+obsdl,74187,a1249,111201
a1281,魚梁瀬,ヤナセ,高知,33.615,134.108333,450,C,,amedastable+obsdl,74151,a1281,100000
a1351,本川,ホンガワ,高知,33.765,133.338333,605,C,,amedastable+obsdl,74056,a1351,111201
a1476,南国日章,ナンコクニッショウ：高知空港,高知,33.545,133.668333,9,C,,amedastable+obsdl,74188,a1476,111000
a1556,三崎,ミサキ,高知,32.795,132.871667,9,C,,amedastable+obsdl,74506,a1556,100000
a0765,須佐,スサ,山口,34.615,131.623333,50,C,,amedastable+obsdl,81011,a0765,111201
s47754,萩,ハギ,山口,34.41,131.405,2,B,,amedastable+obsdl,81071,s47754,111111
a0767,徳佐,トクサ,山口,34.398333,131.725,310,C,,amedastable+obsdl,81151,a0767,111201
a0768,鍋提峠,,山口,,,,,,obsdl_only,,a0768,100000
a0769,秋吉台,アキヨシダイ,山口,34.235,131.306667,240,C,,amedastable+obsdl,81196,a0769,111201
a0770,瀬戸原,,山口,,,,,,obsdl_only,,a0770,100000
a0771,広瀬,ヒロセ,山口,34.261667,131.951667,97,C,,amedastable+obsdl,81231,a0771,111201
a0772,豊田,トヨタ,山口,35.131667,137.176667,75,C,,amedastable+obsdl,51116,a0772,111201
a0773,桜山,,山口,,,,,,obsdl_only,,a0773,100000
s47784,山口,ヤマグチ,山口,43.148333,141.221667,5,C,,amedastable+obsdl,14116,s47784,111111
a0775,防府,ホウフ,山口,34.04,131.533333,4,C,,amedastable+obsdl,81371,a0775,111201
a0776,下松,クダマツ,山口,34.01,131.871667,27,C,,amedastable+obsdl,81386,a0776,111201
s47762,下関,シモセキ,山口,38.091667,139.563333,33,C,,amedastable+obsdl,54191,s47762,111111
a0778,宇部,ウベ：山口宇部空港,山口,33.93,131.278333,5,C,,amedastable+obsdl,81436,a0778,111000
a0779,安下庄,アゲノショウ,山口,33.903333,132.293333,5,C,,amedastable+obsdl,81486,a0779,111201
a0913,玖珂,クガ,山口,34.095,132.075,68,C,,amedastable+obsdl,81397,a0913,111201
a0939,油谷,ユヤ,山口,34.37,131.055,20,C,,amedastable+obsdl,81116,a0939,111201
a0940,岩国,イワクニ,山口,34.155,132.178333,41,C,,amedastable+obsdl,81321,a0940,111201
a0941,周東,,山口,,,,,,obsdl_only,,a0941,100000
a0942,柳井,ヤナイ,山口,33.958333,132.113333,3,C,,amedastable+obsdl,81481,a0942,111201
a1100,羅漢山,ラカンザン,山口,34.35,132.063333,945,C,,amedastable+obsdl,81167,a1100,100000
a1101,長野山,,山口,,,,,,obsdl_only,,a1101,100000
a1261,和田,ワダ,山口,34.17,131.753333,154,C,,amedastable+obsdl,81301,a1261,100000
a1367,篠生,シノブ,山口,34.338333,131.626667,264,C,,amedastable+obsdl,81146,a1367,100000
a1614,鹿野,シカノ,山口,35.413333,134.016667,210,C,,amedastable+obsdl,69111,a1614,100000
a1620,東厚保,ヒガシアツ,山口,34.118333,131.181667,56,C,,amedastable+obsdl,81271,a1620,100000
a0780,八幡,ハチマン,福岡,35.756667,136.978333,271,C,,amedastable+obsdl,52331,a0780,111201
a0781,小倉,,福岡,,,,,,obsdl_only,,a0781,100000
a0782,行橋,ユクハシ,福岡,33.713333,130.975,9,C,,amedastable+obsdl,82101,a0782,111201
a0783,篠栗,,福岡,,,,,,obsdl_only,,a0783,100000
s47809,飯塚,イイヅカ,福岡,33.651667,130.693333,37,B,,amedastable+obsdl,82136,s47809,111111
a0785,前原,マエバル,福岡,33.56,130.19,5,C,,amedastable+obsdl,82171,a0785,111201
s47807,福岡,フクオカ,福岡,33.581667,130.375,3,A,,amedastable+obsdl,82182,s47807,111111
a0787,九千部山,,福岡,,,,,,obsdl_only,,a0787,100000
a0788,朝倉,アサクラ,福岡,33.406667,130.695,38,C,,amedastable+obsdl,82261,a0788,111201
a0789,英彦山,ヒコサン,福岡,33.488333,130.923333,823,C,,amedastable+obsdl,82272,a0789,100000
a0790,久留米,クルメ,福岡,33.303333,130.493333,7,C,,amedastable+obsdl,82306,a0790,111201
a0791,耳納山,ミノウサン,福岡,33.291667,130.625,607,C,,amedastable+obsdl,82316,a0791,100000
a0792,黒木,クロギ,福岡,33.225,130.645,144,C,,amedastable+obsdl,82317,a0792,111201
a0793,大牟田,オオムタ,福岡,33.006667,130.466667,40,C,,amedastable+obsdl,82361,a0793,111201
a0943,宗像,ムナカタ,福岡,33.808333,130.538333,7,C,,amedastable+obsdl,82046,a0943,111201
a0944,頂吉,,福岡,,,,,,obsdl_only,,a0944,100000
a0945,柳川,ヤナガワ,福岡,33.16,130.403333,7,C,,amedastable+obsdl,82331,a0945,100000
